FID,network_name,station_name,region_name,station_id,station_eu_code,municipality_name,station_municipality,station_position,station_lat,station_lon,station_altitude,pollutant_id,pollutant_label,pollutant_notation,spo_local_id,spp_local_id,sam_local_id,data_record_start_time,data_record_end_time,data_record_value,observation_unit_notation,observation_unit_label,primary_observation_notation,primary_observation_label,data_record_id,sampling_point_id,row_id,flag_cur_snapshot,pollutant_level,measurement_type_label,measurement_method_label
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d2,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T14:00:00,2025-04-14T15:00:00,5.66,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499337118,1038627,244651,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d3,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T15:00:00,2025-04-14T16:00:00,6.65,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499343409,1038627,244652,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d4,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T17:00:00,2025-04-14T18:00:00,5.53,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499360819,1038627,244653,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d5,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T18:00:00,2025-04-14T19:00:00,6.37,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499369445,1038627,244654,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d6,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T19:00:00,2025-04-14T20:00:00,5.04,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499385348,1038627,244655,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d7,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T20:00:00,2025-04-14T21:00:00,5.83,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499388061,1038627,244656,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d8,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T21:00:00,2025-04-14T22:00:00,4.3,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499398729,1038627,244657,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d9,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T22:00:00,2025-04-14T23:00:00,3.96,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499414588,1038627,244658,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6da,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T23:00:00,2025-04-15T00:00:00,3.95,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499418969,1038627,244659,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6db,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-15T00:00:00,2025-04-15T01:00:00,3.15,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499429427,1038627,244660,0,6,Metodo Automatico,Chemiluminescence
